URI;ExternalId;SportUnionType;SportUnionRegNumber;LicenceNumber;RegNumberEntryOrder;EntryOrderDate;UnionName;UnionLocation;UnionAddress;UnionStatus;UnionStatusDate;Presenter;AddressCorespondant;Telephone;Emails;Sport;EIK;WebPage;ForeignData;CancelationOrder;CancelDate;
1202-25-1332;2111;"Спортна федерация155";"336-000";"СД-33";"СД-66";"26.09.2022";"Тестово обединение";"гр. София";"ул. Спортна № 66";"Заличен";"26.09.2022";"Иван Иванов";;"";"";"авто-мото спорт";"822486858";"";;;;
1202-25-1196;1;"Спортна федерация";"339-000";"";"№ РД-09-393/18.05.2022";"19.04.2019";"Автомобилна федерация на България";"гр. София";"бул. „Тодор Каблешков“ №55А, ет. 2, офис 3
		";"Вписан";"19.04.2019";"Камен Михайлов";;"0894956971, 0889987050";"office@afb-bg.com";"автомобилизъм, авиомоделизъм, авиомоделизъм, авиомоделизъм,
			авиомоделизъм, авиомоделизъм, авиомоделизъм, авиомоделизъм,
			авиомоделизъм, авиомоделизъм, авиомоделизъм, авиомоделизъм,
			авиомоделизъм, авиомоделизъм, авиомоделизъм, авиомоделизъм,
			авиомоделизъм, авиомоделизъм, авиомоделизъм, авиомоделизъм,
			авиомоделизъм";"205392048";"www.afb-bg.com";"FEDERATION INTERNATIONAL DE L'AUTOMOBILE /FIA/
		";;;
1202-25-1197;2;"Спортна федерация";"102-000";"2";"";;"Български стрелкови съюз";"гр. София";"ул. "Гео Милев" № 71";"Вписан";"05.06.2019";"Мария Гроздева";;"0898770608, 0895350500";"shooting23@abv.bg";"спортна стрелба";"176464933";"www.demetrasai.com";"International shooting sport federation, The Europian
			shooting confederation";;;
1202-25-1199;4;"Спортна федерация";"104-000";"4";"";;"Българска федерация по ветроходство";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"26.06.2019";"Росен Марангозов";;"029300624, 0887060865";"secretary@bulsaf.bg";"ветроходство";"121191677";"www.bulsaf.bg";"World sailing";;;
1202-25-1202;7;"Спортна федерация";"107-000";"7";"";;"Българска федерация по корабомоделен спорт";"гр. София";"ж.к. "Красно село", бл. 211, вх. 2, ет. 5, ап. 32
		";"Вписан";"26.06.2019";"Евгени Генов, Коля Панайотов и Петко Петков -поотделно
		";;"0888227837";"panajotov@bfkks.com; info@bfkks.com";"корабомоделен спорт";"681901";"www.bfkks.com";"Световна организация по корабомоделизъм и корабомоделен
			спорт Naviga";;;
1202-25-1205;11;"Спортна федерация";"111-000";"11";"";;"Българска федерация по таекуон-до "Ай Ти Еф“";"гр. Благоевград";"площад Георги Измирлиев № 5";"Вписан";"10.10.2019";"Марио Богданов";;"0898945555";"bft_itf@abv.bg";"таекуон-до „Ай Ти Еф“";"101149539";"www.itfbulgaria.com";"International taekwon-do federation, Europe ITF
			taekwon-do federation";;;
1202-25-1206;12;"Спортна федерация";"112-000";"12";"";;"Българска федерация по тенис на маса";"гр. София";"бул. "Васил Левски" № 75, ет. 4, ап. стая 416
		";"Вписан";"14.11.2019";"Стефан Китов";;"02/9300607";"bttf@abv.bg";"тенис на маса";"831192122";"www.bttf-bg.com";"ITTF -Международна федерация по тенис на маса, ETTU -
			Европейски съюз по тенис на маса";;;
1202-25-1207;13;"Спортна федерация";"113-000";"13";"";;"Българска федерация естетическа групова гимнастика
		";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"14.11.2019";"Мариета Дукова, Гюрга Недялкова - заедно и поотделно
		";;"0887304079; 029300728";"bfagg@abv.bg";"естетическа групова гимнастика";"131163548";"www.bfagg.net";"IFAGG";;;
1202-25-1208;14;"Спортна федерация";"114-000";"14";"";;"Българска федерация по водомоторен спорт";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"14.11.2019";"Тодор Христов";;"0888731578";"bulgarian.powerboat.federation@abv.bg";"аквабайк, водомоторен спорт";"115198101";"www.champiomship.jetski.bg";"UNION INTERNATIONALE MOTONAUTIQUE";;;
1202-25-1209;15;"Спортна федерация";"115-000";"15";"";;"Българска федерация канадска борба";"гр. София";"ж.к. София парк, Търговска зона, бл. 16В, вх. 1, ет. 1,
			ап. 1.2";"Вписан";"14.11.2019";"Асен Хаджитодоров, Вероника Бонкова";;"0888968541";"asenhdj@mail.bg";"канадска борба";"831841386";"www.armfight.bg";"WORLD ARMWRESTLING FEDERATION";;;
1202-25-1210;16;"Спортна федерация";"116-000";"16";"";;"Българска федерация по ски";"гр. София";"бул. Васил Левски № 75, ет. 5";"Вписан";"14.11.2019";"Цеко Минев";;"029300636";"secretary@bfski.com";"ски алпийски дисциплини, ски бягане, ски скок, сноуборд";"708273";"www.bfski";"Международна федерация по ски";;;
1202-25-1211;17;"Спортна федерация";"117-000";"17";"";;"Българска федерация по ММА";"гр. София";"бул. „Васил Левски” № 75, ет. 7, офис 714";"Вписан";"14.11.2019";"Станислав Недков";;"0886999444";"bfmma@abv.bg";"смесени бойни изкуства";"176659577";"www.bulmmaf.com";"International mixed martial arts federation IMMAF
		";;;
1202-25-1212;18;"Спортна федерация";"118-000";"18";"";;"Българска федерация по джудо";"гр. София";"бул. Васил Левски № 75, ет. 4";"Вписан";"27.11.2019";"Румен Стоилов и Даме Стойков - заедно и поотделно
		";;"029300609; 029300602";"judo8@abv.bg";"джудо";"831333217";"www.judo.bg";"International judo federation";;;
1202-25-1213;19;"Спортна федерация";"201-000";"19";"";;"Българска работническа федерация "Спорт и здраве" ";"гр. София";"пл. Македония 1, ет.4, ст.8";"Вписан";"27.11.2019";"Десислава Ягодин";;"+359 886 47 28 46";"kparzulov@abv.bg";"спорт за хора в трудоспособна възраст";"130561054";"https://bwsf-bg.org/bg";"EUROPEAN FEDERATION FOR COMPANY SPORT";;;
1202-25-1214;20;"Спортна федерация";"119-000";"20";"";;"Федерация народна топка България";"гр. София";"ул. Врабча 14, ет. 1, ап. 1";"Вписан";"27.11.2019";"Константин Миладинов";;"0885948496";"magicmanstudio@abv.bg";"народна топка";"176984065";"www.narodnatopka.com";"World dodgeball association";;;
1202-25-1215;21;"Спортна федерация";"120-000";"21";"";;"Съюз по аеробика България";"гр. София";"бул. Васил Левски № 75";"Вписан";"27.11.2019";"Димитрина Къндева";;"0887607909";"aerobicub@gmail.com";"аеробика";"831534412";"www.aerobicub.com";"Federation internationale de gimnastique /FIG/
		";;;
1202-25-1216;22;"Спортна федерация";"121-000";"22";"";;"Българска федерация по самбо";"гр. София";"бул. Васил Левски № 75, ет. 4, офис 4";"Вписан";"27.11.2019";"Росен Димитров и Румен Димитров";;"+35929300593";"bulsambo@abv.bg";"самбо";"121097441";"www.sambo.bg";"Международна федерация самбо /FIAS/";;;
1202-25-1217;23;"Спортна федерация";"122-000";"23";"";;"Българска федерация по модерен петобой";"гр. София";"бул. Васил Левски № 75, ет. 5, ап. 510";"Вписан";"27.11.2019";"Камелия Александрова";;"02 9300641, 02 9300642";"office@pentathlon-bg.com";"модерен петобой";"121695905";"www.pentathlon-bg.com";"UNION INTERNATIONALE DE PENTATHLON MODERNE";;;
1202-25-1218;24;"Спортна федерация";"123-000";"24";"";;"Българска федерация по баскетбол";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"27.11.2019";"Георги Глушков";;"029864816";"krasi@basketball.bg; office@basketball.bg";"баскетбол";"121393209";"www.basketball.bg";"FIBA";;;
1202-25-1219;25;"Спортна федерация";"124-000";"25";"";;"Българска федерация по катерене и алпинизъм";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"27.11.2019";"Петко Тотев Николай Петков";;"029300532";"office@bfka.org";"алпинизъм, ледено катерене, ски алпинизъм, спортно катерене
		";"121213771";"www.bfka.org";"IFSC";;;
1202-25-1220;26;"Спортна федерация";"125-000";"26";"";;"Българска федерация плувни спортове";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"27.11.2019";"Димитър Бобев и Георги Аврамчев -заедно и поотделно
		";;"029300618";"bgr_swimm17@hotmail.com";"плувни спортове";"831331305";"www.bul-swimming.org";"Federation internationale de national";;;
1202-25-1221;27;"Спортна федерация";"126-000";"27";"";;"Българска федерация по ориентиране";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"27.11.2019";"Костадин Новаков";;"02 9300 613";"bgof@abv.bg";"ориентиране, ски ориентиране, коло ориентиране";"121213748";"https://orienteering.bg/";"International Orienteering Federation";;;
1202-25-1222;28;"Спортна федерация";"127-000";"28";"";;"Българска федерация по гребане";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"27.11.2019";"Свилен Нейков";;"02 93 00 520";"rowing_bg@abv.bg";"гребане";"121689770";"https://rowingbulgaria.com/";"FEDERATION INTERNATIONALE DES SOCIETES D'AVIRON
		";;;
1202-25-1223;29;"Спортна федерация";"128-000";"29";"";;"Българска федерация по кану-каяк";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"16.12.2019";"Николай Бухалов";;"02 9300-620";"";"кану-каяк";"122038759";"https://www.canoe-bg.com/bg/";"";;;
1202-25-1224;30;"Спортна федерация";"129-000";"30";"";;"Българска конфедерация по кик-бокс и муай-тай";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"16.12.2019";"Галин Димов";;"029300577, 0898524349";"bulkick@abv.bg";"кик-бокс, муай-тай";"103233092";"www.kickboxing.bg";"EMF /European muaytai confederation/, WAKO, Wako Europe
		";;;
1202-25-1225;31;"Спортна федерация";"130-000";"31";"";;"Българска Т-клас федерация";"гр. София";"ул. „Ген. Йосиф В. Гурко” № 64, ет. 1, ап. 3
		";"Вписан";"16.12.2019";"Иван Бързилов и Светослав Костадинов";;"088 666 4685";"info@t-class.bg";"стрелкови спорт „Т-Клас“";"176962115";"https://t-class.bg/";"";;;
1202-25-1226;32;"Спортна федерация";"131-000";"32";"";;"Българска федерация по конен спорт";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"16.12.2019";"Тодор Гергов и Крум Рашков";;"+359 2 9865399, 02/ 930 06 03";"bef@horsesportbg.org";"конен спорт";"715093";"http://www.horsesportbg.org/";"";;;
1202-25-1227;33;"Спортна федерация";"132-000";"33";"";;"Българска федерация по гимнастика";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"16.12.2019";"Красимир Дунев и Йордан Йовчев";;"0879000649";"kdunev@yahoo.com; bulgym@yahoo.com";"спортна гимнастика";"121793986";"http://bulgariangymnastics.gymchat.com";"FEDERATION INTERNARIONALE DE GYMNASTIQUE";;;
1202-25-1228;34;"Спортна федерация";"133-000";"34";"";;"Българска федерация шотокан карате-до";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"16.12.2019";"Александър Славков и Лъчезар Ненов заедно";;"029300557";"bfsk@karatebg.com";"шотокан карате-до";"114637353";"www.karatebg.com";"SKDUN";;;
1202-25-1229;35;"Спортна федерация";"134-000";"35";"";;"Българска федерация стрелба с лък";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"16.12.2019";"Атанас Темелков и Мирослав Георгиев";;"9300625";"bfsl@abv.bg";"стрелба с лък";"121796256";"www.archery.org";"INTERNATIONAL ARCHERY DEFERATION";;;
1202-25-1230;36;"Спортна федерация";"202-000";"36";"";;"Национална военна спортна федерация";"гр. София";"ул. Дякон Игнатий №3";"Вписан";"16.12.2019";"Емил Ефтимов и Явор Матеев";;"0888672372";"nmsf@mod.bg";"за военнослужещи и служители от въоръжените сили";"176223843";"https://nmsf.mod.bg/";"";;;
1202-25-1231;37;"Спортна федерация";"135-000";"37";"";;"Българска федерация по хокей на трева";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"20.12.2019";"Йорг Шенк";;"02/9300654";"bf_hockey@yahoo.com";"хокей на трева";"121858722";"https://www.bghockey.org/";"";;;
1202-25-1232;38;"Спортна федерация";"136-000";"38";"";;"Българска федерация по трап, двоен трап и скийт";"гр. София";"бул. Васил Левски № 75, Коесп: гр. Плевен, п.к. 5800, ,
			ул. Българска авиация №55";"Вписан";"20.12.2019";"Илия Кирилов";;"+359 64 600 687";"btsf@abv.bg";"скийт, двоен трап, трап";"121742664";"https://www.btsf.bg/";"";;;
1202-25-1233;39;"Спортна федерация";"137-000";"39";"";;"Българска федерация по вдигане на тежести";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"20.12.2019";"Неделчо Колев";;"+359 29 300 537";"wfbulgaria@abv.bg";"вдигане на тежести";"176063374";"http://wfbulgaria.com/";"";;;
1202-25-1234;40;"Спортна федерация";"138-000";"40";"";;"Българска федерация по борба";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"20.12.2019";"Христо Маринов и Валентин Рангелов -заедно и поотделно
		";;"02 9800626, 02 9800627";"office@bul-wrestling.org";"борба класически стил, борба свободен стил";"121505512";"www.bul-wrestling.org";"FEDERATION INTERNATIONAL DES LUTTES ASSOCIEES
		";;;
1202-25-1235;41;"Спортна федерация";"139-000";"41";"";;"Българска федерация по хандбал";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"20.12.2019";"Росен Добрев";;"+359 (02) 986 15 16, факс: +359 (02) 986 15 16";"bfh@abv.bg";"хандбал";"121449914";"https://bulgarianhandball.eu";"INTERNATIONAL HANDBALL FEDERATION";;;
1202-25-1236;42;"Спортна федерация";"140-000";"42";"";;"Българска федерация по кънки";"гр. София";"ул. "Княз Борис I" № 90";"Вписан";"20.12.2019";"Татяна Димчева Йорданова";;"029887571";"office@bsf.bg";"фигурно пързаляне, шорттрек";"121135511";"http://www.bsf.bg/";"INTERNATIONAL SKATING UNION";;;
1202-25-1237;43;"Спортна федерация";"141-000";"43";"";;"Българска федерация по биатлон";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"20.12.2019";"Екатерина Дафовска";;"9300590";"bfbiathlon@intech.bg";"биатлон";"121448709";"www.biathlon-bg.net";"INTERNATIONAL BIATHLON UNION";;;
1202-25-1238;44;"Спортна федерация";"142-000";"44";"";;"Българска национална федерация карате";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"20.12.2019";"Алексей Петров, Русалин Русалинов, Борис Николов - заедно и
			поотделно";;"+359 88 441 4950";"office@bnfk.bg";"карате";"121181302";"www.bnfk.bg";"WORLD KARATE FEDERATION";;;
1202-25-1239;45;"Спортна федерация";"143-000";"45";"";;"Българска федерация на клубовете по спортни танци
		";"гр. София";"бул. Васил Левски № 75";"Вписан";"20.12.2019";"Георги Найденов";;"0879189155";"contact@bdscf.org";"спортни танци";"177203377";"http://www.bdscf.org/";"World dance sport federation";;;
1202-25-1240;46;"Спортна федерация";"144-000";"46";"";;"Българска федерация по бокс";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"07.01.2020";"Красимир Инински";;"+359 2 9300 595, 596";"infobgboxing@gmail.com; fedbgboxing@gmail.com";"бокс";"121341855";"https://www.bgboxing.org/";"ASSOCIATION INTERNATIONALE DE BOXE AMATEUR";;;
1202-25-1241;47;"Спортна федерация";"145-000";"47";"";;"Българска снукър федерация";"гр. София";"Сливница No 186, офис 1";"Вписан";"07.01.2020";"Олег Велинов";;"";"bgsnooker@abv.bg";"снукър";"175510203";"www.bgsnooker.com";"Световната Снукър Асоциация, Международна билярд и снукър
			федерация";;;
1202-25-1242;48;"Спортна федерация";"146-000";"48";"";;"Българска карате киокушин федерация";"гр. Варна";"район р-н Одесос, ул. Цар Симеон I No 31, ет. 3 Адрес за
			кореспонденция: п. код 9701 гр. Шумен п.к. 1004";"Вписан";"07.01.2020";"Марин Митев и Стоян Димов - самостоятелно или заедно
		";;"";"ofice@kyokushin-kan.bg; kwu_bulgaria@abv.bg";"карате киокушин";"103570622";"http://www.kyokushin-kan.bg/";"EUROPEAN KYOKUSHIN KARATE ORGANIZATION, Международна
			организация по киукушун карате “Хонбу”";;;
1202-25-1243;49;"Спортна федерация";"203-000";"49";"";;"Българска федерация за пожароприложен спорт";"гр. София";"ул. Пиротска №171А";"Вписан";"07.01.2020";"Трифон Гидиков";;"0888510751, 0887606753";"bfpps1991@abv.bg; mr_ainakieva@abv.bg";"за служители от системата на Министерството на вътрешните
			работи";"131391473";"http://pojarna.com/bg/sections/sportna_dejnost/";"Международната асоциация на пожарникарите";;;
1202-25-1244;50;"Спортна федерация";"147-000";"50";"";;"Българска федерация скокове батут";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"07.01.2020";"Стоян Стоянов";;"029300688";"bul_tramp@abv.bg";"скокове батут";"831243549";"http://www.trampoline-bulgaria.com";"FEDERATION INTERNACIONALE DE GYMNASTIQUE";;;
1202-25-1245;51;"Спортна федерация";"148-000";"51";"";;"Българска федерация бадминтон";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"07.01.2020";"Володя Златев и Антраник Касабян";;"02/9300550";"badmintonbg@gmail.com";"бадминтон";"121268515";"www.bfbadminton.bg";"INTERNATIONAL BADMINTON FEDERATION";;;
1202-25-1246;52;"Спортна федерация";"149-000";"52";"";;"Българска федерация по мотоциклетизъм";"гр. София";"бул. България 61 Адрес за кореспонденция: гр. София, ул.
			"Позитано" № 22";"Вписан";"07.01.2020";"Ангел Траков, Богдан Николов, Иво Цветанов";;"02 9818989";"gensek@bfm.bg";"мотоциклетизъм";"121333347";"http://bfm.bg";"FEDERATION INTERNATIONALE DE MOTOCYCLISME";;;
1202-25-1247;53;"Спортна федерация";"150-000";"53";"";;"Българска кърлинг федерация";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"07.01.2020";"Николай Рунтов";;"0888231317";"bulcurfed@gmail.com";"кърлинг";"176407213";"curling.bg";"WORLD CURLING FEDERATION";;;
1202-25-1248;54;"Спортна федерация";"153-000";"58";"";;"Българска федерация колоездене";"гр. София";"ул. "Гюешево" № 3, Бизнес център Сердика, сгр. 2.3.,
			офис 120";"Вписан";"15.01.2020";"Драгомир Кузов";;"0888310548";"admin@bgcf.bg";"колоездене";"205777624";"http://bgcf.bg";"USI";;;
1202-25-1249;55;"Спортна федерация";"205-000";"55";"";;"Българска паралимпийска федерация";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"15.01.2020";"Илия Коцев";;"029300623";"ilalov@abv.bg";"спорт за хора с увреждания";"708323";"http://www.paralympic-bg.org/";"INTERNATIONAL PARALYMPIC COMMITTEE";;;
1202-25-1250;56;"Спортна федерация";"151-000";"56";"";;"Българска федерация по спортна акробатика";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"15.01.2020";"Владимир Колев, а в негово отсъствие от Недко Костадинов
		";;"029300526";"bulacro@gmail.com";"спортна акробатика";"121311137";"www.bfsa-bg.com";"FIG";;;
1202-25-1251;57;"Спортна федерация";"152-000";"57";"";;"Българска федерация по автомоделни спортове";"гр. Враца";"ул. Стоян Заимов, бл. 37, вх. А, ет. 1, ап. 2
		";"Вписан";"15.01.2020";"Янко Здравков и Дамян Петров";;"0889323015";"da_petrov@abv.bg; bfamsfed@abv.bg";"автомоделни спортове";"106503881";"http://www.automodelsport.com/";"";;;
1202-25-1252;58;"Спортна федерация";"204-000";"54";"";;"Българска федерация спорт за всички";"гр. София";"бул. "Васил Левски" No 75";"Вписан";"15.01.2020";"Десислава Илиева";;"0888322698, 0887198064";"bfsv_basv@abv.bg";"спорт за всички";"831518066";"http://sportforall-bg.org/";"TRIM AND FITNESS INTERNATIONAL SPORT FOR ALL ASSOCIATION
		";;;
1202-25-1253;59;"Спортна федерация";"154-000";"59";"";;"Българска федерация по фехтовка";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"31.01.2020";"Величка Христева";;"9300646, 647";"bulfencing@abv.bg";"фехтовка";"121797803";"www.bulfencing.com";"FEDERATION INTERNATIONALE D'ESCRIME";;;
1202-25-1254;60;"Спортна федерация";"155-000";"60";"";;"Български футболен съюз";"гр. София";"ул. „Витошко лале“ № 18";"Вписан";"23.01.2020";"Борислав Михайлов";;"02/875723";"bfu@bfunion.bg";"футбол";"692965";"www.bfunion.bg";"Union des association Europeennes de football -UEFA
		";;;
1202-25-1255;61;"Спортна федерация";"206-000";"61";"";;"Българска мастърс федерация";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"27.01.2020";"Здравка Йорданова";;"029300622";"bgmasters2012@gmail.com";"спорт за хора във и над трудоспособна възраст";"130210646";"bg-masters.com";"";;;
1202-25-1256;62;"Спортна федерация";"207-000";"63";"";;"Спортна Асоциация - МВР";"гр. София";"ул. Балша № 18, Спортен комплекс "Раковски" ";"Вписан";"27.01.2020";"Неделчо Стойчев Чавдар Петров Ивайло Иванов";;"02/982807";"office@sa-mvr.com";"за служители от системата на Министерството на вътрешните
			работи";"831393125";"https://www.sa-mvr.com/";"Европейски полицейски спортен съюз";;;
1202-25-1257;63;"Спортна федерация";"156-000";"62";"";;"Българска федерация по кендо";"гр. София";"ж.к. Хаджи Димитър, ул. "Златица", бл. 138, вх. В, ет.
			3, ап. 48";"Вписан";"31.01.2020";"Александър Арабаджийски";;"945 7180, 0885 834 154";"kendo_alex@abv.bg";"иайдо, кендо, джодо";"121000927";"www.kendo.bg";"INTERNATIONAL KENDO FEDERATION / EUROPEAN KENDO
			FEDERATION";;;
1202-25-1258;64;"Спортна федерация";"208-000";"64";"";;"Спортна федерация на глухите в България";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"14.02.2020";"Николай Бозев";;"0884330884, 9300723";"bulgariandeafsports@abv.bg";"спорт за хора с увреждания";"131199551";"http://www.bdsf-bg.org";"International committee of sports for the deaf, European
			Deaf sport organization";;;
1202-25-1259;65;"Спортна федерация";"209-000";"65";"";;"Българска спортна федерация за деца и младежи в риск
		";"гр. София";"ж.к. Яворов, ул. „Иван Асен II“ № 71";"Вписан";"14.02.2020";"Анатоли Илиев";;"0888611191";"bsfdlrg_bg@abv.bg";"в областта на спорта за всички - за деца и младежи в риск
		";"131450612";"www.bulgariansportfederation.eu";"ENGSO";;;
1202-25-1260;66;"Спортна федерация";"210-000";"66";"";;"Федерация спорт за хора със зрителни увреждания";"гр. София";"ул. "Найчо Цанов" № 172";"Вписан";"14.02.2020";"Иван Янев";;"0888100462";"fshzubg@gmail.com";"спорт за хора с увреждания";"175294727";"vipsport.bg";"Международна спортна федерация на незрящите, Международна
			асоциация по брайлов шах";;;
1202-25-1261;67;"Спортна федерация";"157-000";"67";"";;"Национална федерация българско кемпо - булкемпо";"гр. София";"жк. Дианабад бл. 5- В ап.29";"Вписан";"14.02.2020";"Велин Хаджолов и Анна Априлова";;"0888507851, 0885815335";"info@bulgariankempo.com";"кемпо";"175861526";"www.bulgariankempo.com";"INTERNATIONAL KEMPO FEDERATION";;;
1202-25-1262;68;"НОСТД";"158-000";"68";"";;"Българска федерация по туризъм";"гр. София";"бул. Васил Левски № 75, ет. 5, ап. 504";"Вписан";"18.02.2020";"Весел Пендичев";;"0882966451, 088966452";"bftourism@abv.bg";"";"121568719";"http://www.bftourism.net/";"INTERNATIONAL DANUBIEN TID, Audax club Parisien
		";;;
1202-25-1263;69;"Спортна федерация";"211-000";"69";"";;"Българска асоциация спорт за учащи";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"14.02.2020";"Юлия Йорданова и Красимир Кръстев";;"9300815";"basu_07@abv.bg";"спорт за учащи";"175419426";"http://basu.bg/";"International School Sport Federation";;;
1202-25-1264;70;"Спортна федерация";"159-000";"70";"";;"Българска федерация по волейбол";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"19.02.2020";"Любомир Ганев";;"029026440";"office@volleyball.bg";"волейбол";"121268102";"https://www.volleyball.bg/";"FEDERATION INTERNATIONALE DE VOLLEYBALL";;;
1202-25-1265;71;"Спортна федерация";"160-000";"71";"";;"Българска федерация по тенис";"гр. София";"ул. Незабравка 3-5 Български Национален тенис център
		";"Вписан";"19.02.2020";"Георги Крумов";;"0887500600";"bft@bgtennis.bg";"тенис";"708469";"www.bgtennis.bg";"International tennis federation";;;
1202-25-1266;72;"Спортна федерация";"161-000";"72";"";;"Българска федерация по водна топка";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"21.02.2020";"Христо Данов";;"02/9300639";"info@waterpolobg.com";"водна топка";"121449031";"https://waterpolobg.com/";"FEDERATION INTERNACIONALE DE NATION AMATEUR";;;
